,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구
2015-01-01 01:00:00,0.2,0.4,0.2,0.3625,0.4,0.3,0.3,0.6,0.2,0.2,0.6,0.3,0.3,0.5,0.4,0.3,0.2,0.4,0.3,0.6,0.2,0.6,0.2,0.6,0.4
2015-01-01 02:00:00,0.2,0.4,0.2,0.3666666666666667,0.4,0.4,0.4,0.5,0.2,0.3,0.5,0.3,0.4,0.5,0.4,0.3,0.2,0.4,0.3,0.6,0.2,0.6,0.2,0.6,0.3
2015-01-01 03:00:00,0.2,0.4,0.2,0.375,0.5,0.4,0.4,0.6,0.2,0.3,0.6,0.4,0.3,0.4,0.4,0.3,0.2,0.4,0.3,0.5,0.2,0.6,0.2,0.6,0.4
2015-01-01 04:00:00,0.2,0.3,0.2,0.3458333333333334,0.4,0.4,0.3,0.5,0.2,0.3,0.6,0.3,0.3,0.4,0.4,0.3,0.2,0.4,0.3,0.4,0.2,0.6,0.2,0.6,0.3
2015-01-01 05:00:00,0.2,0.3,0.1,0.3375,0.4,0.4,0.3,0.5,0.2,0.3,0.5,0.3,0.3,0.6,0.4,0.3,0.2,0.4,0.3,0.3,0.2,0.6,0.2,0.5,0.3
2015-01-01 06:00:00,0.2,0.4,0.2,0.34583333333333344,0.4,0.4,0.3,0.5,0.2,0.3,0.6,0.3,0.3,0.3,0.4,0.3,0.2,0.4,0.3,0.4,0.2,0.6,0.2,0.6,0.3
2015-01-01 07:00:00,0.2,0.4,0.2,0.3625,0.4,0.4,0.3,0.5,0.2,0.3,0.6,0.3,0.3,0.5,0.4,0.3,0.2,0.4,0.3,0.5,0.2,0.6,0.2,0.6,0.4
2015-01-01 08:00:00,0.2,0.4,0.2,0.375,0.4,0.4,0.4,0.5,0.3,0.3,0.6,0.3,0.4,0.4,0.4,0.3,0.2,0.4,0.3,0.5,0.2,0.7,0.2,0.6,0.4
2015-01-01 09:00:00,0.3,0.4,0.2,0.3958333333333333,0.4,0.4,0.4,0.6,0.2,0.3,0.7,0.4,0.4,0.5,0.4,0.3,0.3,0.4,0.4,0.4,0.2,0.7,0.2,0.6,0.4
2015-01-01 10:00:00,0.2,0.4,0.2,0.37083333333333335,0.4,0.4,0.4,0.5,0.2,0.3,0.6,0.3,0.3,0.5,0.4,0.3,0.3,0.4,0.3,0.5,0.2,0.6,0.2,0.6,0.4
2015-01-01 11:00:00,0.2,0.4,0.2,0.375,0.4,0.4,0.3,0.5,0.3,0.3,0.6,0.3,0.4,0.5,0.4,0.3,0.3,0.4,0.3,0.5,0.2,0.6,0.2,0.6,0.4
2015-01-01 12:00:00,0.2,0.4,0.2,0.37083333333333335,0.4,0.4,0.3,0.6,0.2,0.3,0.6,0.3,0.4,0.5,0.4,0.3,0.2,0.4,0.3,0.5,0.2,0.6,0.2,0.6,0.4
2015-01-01 13:00:00,0.2,0.4,0.2,0.3583333333333334,0.4,0.4,0.3,0.6,0.2,0.2,0.6,0.3,0.3,0.4,0.4,0.3,0.2,0.4,0.3,0.5,0.2,0.6,0.2,0.6,0.4
