,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구
2015-01-01 01:00:00,0.006,0.005,0.005,0.006,0.005,0.006999999999999999,0.003,0.006,0.005,0.006,0.006,0.006999999999999999,0.005,0.004,0.006,0.004,0.006,0.004,0.005,0.006999999999999999,0.006,0.005,0.004,0.006,0.006
2015-01-01 02:00:00,0.005,0.005,0.005,0.006,0.006,0.006,0.003,0.006,0.006,0.006,0.005,0.006999999999999999,0.005,0.005,0.006,0.004,0.006,0.004,0.006,0.008,0.006,0.005,0.005,0.006,0.006
2015-01-01 03:00:00,0.005,0.005,0.005,0.005,0.006,0.006,0.003,0.006,0.005,0.006,0.005,0.006999999999999999,0.005,0.004,0.006,0.004,0.006,0.004,0.005,0.008,0.006,0.005,0.005,0.006,0.006
2015-01-01 04:00:00,0.006999999999999999,0.005,0.005,0.006,0.005,0.006,0.003,0.006,0.005,0.005,0.005,0.006,0.005,0.004,0.006,0.004,0.006,0.004,0.005,0.006999999999999999,0.006,0.005,0.004,0.006,0.006
2015-01-01 05:00:00,0.006,0.005,0.004,0.005,0.005,0.006,0.003,0.006,0.005,0.005,0.005,0.006,0.005,0.004,0.006,0.003,0.006,0.004,0.006,0.008,0.005,0.005,0.005,0.006,0.006
2015-01-01 06:00:00,0.005,0.004,0.004,0.006,0.005,0.005,0.002,0.006,0.005,0.006,0.005,0.006999999999999999,0.004,0.004,0.005,0.003,0.006,0.004,0.004,0.006999999999999999,0.005,0.005,0.004,0.006,0.006
2015-01-01 07:00:00,0.006,0.005,0.005,0.005,0.005,0.005,0.002,0.004,0.006,0.006,0.005,0.006999999999999999,0.005,0.004,0.005,0.003,0.006,0.004,0.005,0.008,0.005,0.005,0.005,0.006,0.006
2015-01-01 08:00:00,0.006,0.005,0.004,0.006,0.005,0.005,0.003,0.006,0.006,0.006,0.005,0.006,0.005,0.004,0.006,0.004,0.006,0.004,0.005,0.006999999999999999,0.006,0.005,0.004,0.006,0.006
2015-01-01 09:00:00,0.005,0.005,0.005,0.006,0.005,0.005,0.003,0.005,0.005,0.006,0.005,0.006,0.005,0.004,0.006,0.004,0.006,0.004,0.006,0.008,0.005,0.005,0.005,0.006,0.006
2015-01-01 10:00:00,0.006,0.005,0.005,0.006,0.006,0.006,0.003,0.005,0.006,0.006,0.005,0.006,0.005,0.005,0.006,0.004,0.006,0.004,0.006,0.008,0.006,0.005,0.005,0.006,0.006
2015-01-01 11:00:00,0.006,0.005,0.005,0.006,0.005,0.006,0.003,0.005,0.005,0.006,0.006,0.006,0.005,0.004,0.006,0.004,0.006,0.004,0.005,0.006999999999999999,0.005,0.005,0.005,0.006,0.006999999999999999
2015-01-01 12:00:00,0.006,0.005,0.005,0.006,0.005,0.006,0.003,0.006,0.005,0.006,0.005,0.004,0.005,0.004,0.005,0.004,0.006999999999999999,0.004,0.005,0.006,0.006,0.005,0.004,0.006,0.006
2015-01-01 13:00:00,0.005,0.005,0.005,0.005,0.005,0.006,0.003,0.006,0.005,0.006,0.005,0.004,0.005,0.004,0.005,0.004,0.006,0.003,0.005,0.006,0.005,0.005,0.004,0.006,0.005
2015-01-01 14:00:00,0.005,0.005,0.005,0.005,0.005,0.006,0.003,0.005,0.005,0.005,0.005,0.006,0.004,0.004,0.005,0.003,0.006,0.004,0.006,0.006,0.004,0.005,0.004,0.005,0.006
2015-01-01 15:00:00,0.006,0.005,0.005,0.005,0.005,0.006,0.003,0.006,0.006,0.005,0.006,0.006,0.005,0.004,0.005,0.004,0.006,0.004,0.006,0.006,0.006,0.005,0.005,0.006,0.006
2015-01-01 16:00:00,0.006,0.005,0.005,0.005,0.005,0.006,0.003,0.006999999999999999,0.005,0.006,0.005,0.005,0.005,0.004,0.005,0.004,0.006999999999999999,0.004,0.006,0.006,0.006,0.005,0.005,0.006,0.006
2015-01-01 17:00:00,0.006,0.005,0.005,0.005,0.005,0.005,0.003,0.005,0.005,0.006,0.005,0.006,0.005,0.004,0.005,0.003,0.006,0.003,0.006,0.006,0.005,0.005,0.004,0.006,0.006
2015-01-01 18:00:00,0.006,0.005,0.005,0.004,0.005,0.005,0.003,0.006999999999999999,0.006,0.006,0.005,0.008,0.005,0.004,0.005,0.003,0.006,0.003,0.005,0.008,0.004,0.005,0.005,0.006,0.006
2015-01-01 19:00:00,0.005,0.004,0.005,0.005,0.005,0.005,0.003,0.006,0.005,0.005,0.005,0.006999999999999999,0.004,0.004,0.005,0.003,0.006,0.003,0.006,0.006,0.004,0.005,0.004,0.005,0.006
2015-01-01 20:00:00,0.005,0.005,0.005,0.005,0.005,0.005,0.003,0.006,0.006,0.005,0.005,0.006999999999999999,0.004,0.004,0.005,0.003,0.005,0.003,0.006,0.006,0.005,0.005,0.005,0.005,0.006
2015-01-01 21:00:00,0.006,0.005,0.005,0.005,0.005,0.005,0.003,0.006,0.006,0.005,0.005,0.006,0.005,0.004,0.006,0.003,0.006,0.003,0.006,0.006,0.005,0.005,0.004,0.006,0.006999999999999999
2015-01-01 22:00:00,0.006,0.005,0.005,0.006,0.005,0.005,0.003,0.005,0.005,0.005,0.005,0.006,0.005,0.004,0.005,0.003,0.006,0.003,0.005,0.006,0.004,0.005,0.004,0.006,0.006999999999999999
2015-01-01 23:00:00,0.006,0.005,0.005,0.006,0.005,0.004,0.002,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.005,0.003,0.005,0.003,0.005,0.006,0.004,0.005,0.005,0.006,0.005
2015-01-02 00:00:00,0.006,0.005,0.004,0.005,0.005,0.005,0.002,0.005,0.006,0.005,0.005,0.006999999999999999,0.004,0.004,0.005,0.003,0.006,0.003,0.005,0.006,0.005,0.005,0.004,0.006,0.006
2015-01-02 01:00:00,0.005,0.004,0.005,0.005,0.005,0.005,0.002,0.004,0.006,0.005,0.005,0.006999999999999999,0.004,0.004,0.005,0.003,0.006,0.003,0.006,0.006,0.005,0.005,0.005,0.006,0.006999999999999999
